gender,decision
male,promoted
male,promoted
male,promoted
male,promoted
male,promoted
male,promoted
male,promoted
male,promoted
male,promoted
male,promoted
male,promoted
male,promoted
male,promoted
male,promoted
male,promoted
male,promoted
male,promoted
male,promoted
male,promoted
male,promoted
male,promoted
male,not promoted
male,not promoted
male,not promoted
female,promoted
female,promoted
female,promoted
female,promoted
female,promoted
female,promoted
female,promoted
female,promoted
female,promoted
female,promoted
female,promoted
female,promoted
female,promoted
female,promoted
female,not promoted
female,not promoted
female,not promoted
female,not promoted
female,not promoted
female,not promoted
female,not promoted
female,not promoted
female,not promoted
female,not promoted
