country,gdp_per_capita,life_satisfaction
Russia,9054.91,6.0
Turkey,9437.37,5.6
Hungary,12239.89,4.9
Poland,12495.33,5.8
Slovak Republic,15991.73,6.1
Estonia,17288.08,5.6
Greece,18064.28,4.8
Portugal,19121.59,5.1
Slovenia,20732.48,5.7
Spain,25864.72,6.5
Korea,27195.19,5.8
Italy,29866.58,6.0
Japan,32485.54,5.9
Israel,35343.33,7.4
New Zealand,37044.89,7.3
France,37675.00,6.5
Belgium,40106.63,6.9
Germany,40996.51,7.0
Finland,41973.98,7.4
Canada,43331.96,7.3
Netherlands,43603.11,7.3
Austria,43724.03,6.9
United Kingdom,43770.68,6.8
Sweden,49866.26,7.2
Iceland,50854.58,7.5
Australia,50961.86,7.3
Ireland,51350.74,7.0
Denmark,52114.16,7.5
United States,55805.20,7.2
